Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Port of New York,"Crime, Drama, Film-Noir            ",1949,82 min,6,Two narcotics agents go after a gang of murderous drug dealers who use ships docking at the New York harbor to smuggle in their contraband.,"1,924",Anthony Mann,Robert Cummings
Possessed,"Crime, Drama, Film-Noir            ",1947,108 min,7.1,"After being found wandering the streets of Los Angeles, a severely catatonic woman tells a doctor the complex story of how she wound up there.","1,413",Alfred L. Werker,Louis Hayward
The Postman Always Rings Twice,"Crime, Drama, Film-Noir            ",1946,113 min,7.4,"A married woman and a drifter fall in love, then plot to murder her husband.","3,130",Robert Montgomery,Robert Montgomery
The Pretender,"Crime, Drama, Film-Noir            ",1947,69 min,6.4,"Banker Kenneth Holden (Albert Dekker) steals funds from an estate and decides to marry the heiress, Claire Worthington (Catherine Craig), to safeguard his position. He arranges for her ...                See full summary »","2,195",Don Siegel,Neville Brand
Private Hell 36,"Crime, Drama, Film-Noir            ",1954,81 min,6.7,"When 2 detectives steal $80,000 from a dead robber, one of them suffers from a guilty conscience which could lead to murder.","1,253",Harold Daniels,Charles McGraw
The Prowler,"Drama, Film-Noir, Thriller            ",1951,92 min,7.2,After Susan Gilvray reports a prowler outside her house police officer Webb Garwood investigates and sparks fly. If only her husband wasn't in the way.,"2,850",Jean Negulesco,Ida Lupino
Pursued,Western            ,1947,101 min,7.2,A boy haunted by nightmares about the night his entire family was murdered is brought up by a neighboring family in the 1880s. He falls for his lovely adoptive sister but his nasty adoptive brother and mysterious uncle want him dead.,"1,192",Anthony Pelissier,Valerie Hobson
Pushover,"Crime, Drama, Film-Noir            ",1954,88 min,7.1,"An undercover police officer falls for the beautiful moll of a bank robber on the run, and together they plan to double-cross the hood and the cops.",956,Roy Rowland,Robert Taylor
Quicksand,"Crime, Drama, Film-Noir            ",1950,79 min,6.6,"After taking 20 dollars from his employer to go on a date with plans to repay it the next day, an auto mechanic falls into increasingly disastrous circumstances for more and more money which rapidly spirals out of his control.","2,907",Phil Karlson,John Derek
The Racket,"Crime, Drama, Film-Noir            ",1951,88 min,6.7,"In New York, two honest cops try to hinder a crime syndicate from moving into the precinct and also to prevent the mob's plan of electing a corrupt prosecutor to a judgeship.",525,Ewald André Dupont,John Ireland
The Raging Tide,"Crime, Drama, Film-Noir            ",1951,93 min,6.3,"After a San Francisco gangster murders a rival criminal, he seeks shelter on a fisherman's boat while the police are man-hunting him and pressuring his girlfriend into betrayal.","17,262",Fritz Lang,Edward G. Robinson
Railroaded!,"Crime, Drama, Film-Noir            ",1947,72 min,6.6,"A beautician and her crooked boyfriend attempt to rob the bookie operation located in the back room, but when the plan goes wrong, they frame an innocent man.","1,290",Roy Rowland,Van Johnson
Ramrod,"Action, Romance, Western            ",1947,94 min,6.7,"Violent feud between Connie Dickason, the owner of the Circle 66 ranch and rancher Frank Ivey, the self-proclaimed boss of an otherwise public grazing land.","1,113",Rudolph Maté,Robert Mitchum
Rancho Notorious,Western            ,1952,89 min,6.9,"After the murder of his fiancée, a Wyoming ranch hand sets out to find her killer.","1,282",James V. Kern,Robert Young
Raw Deal,"Crime, Drama, Film-Noir            ",1948,79 min,7.2,Joe Sullivan (Dennis O'Keefe) has taken the rap for Rick (Raymond Burr) who double-crosses him with a flawed escape plan and other means intended to get rid of him.,"5,142",Fritz Lang,Joan Bennett
Rawhide,"Drama, Romance, Western            ",1951,89 min,7.1,A stagecoach stop employee and a stranded woman traveller find themselves at the mercy of four desperate outlaws intent on robbing the next day's gold shipment.,926,Mel Ferrer,Claudette Colbert
The Reckless Moment,"Crime, Drama, Film-Noir            ",1949,82 min,7.1,"After discovering the dead body of her teenage daughter's lover, a housewife takes desperate measures to protect her family from scandal.","9,273",Robert Wise,Robert Ryan
The Red House,"Drama, Film-Noir, Mystery            ",1947,100 min,6.7,"An old man and his sister are concealing a terrible secret from their adopted teen daughter, concerning a hidden abandoned farmhouse, located deep in the woods.","1,791",Joseph M. Newman,Edmond O'Brien
Red Light,"Crime, Drama, Film-Noir            ",1949,83 min,6.3,"The former employee of a trucking company, currently in prison for embezzlement, plans his eventual revenge against his former boss.","2,094",Compton Bennett,James Mason
Reign of Terror,"History, Romance, Thriller            ",1949,89 min,7,"Robespierrre, a powerful figure in the French revolution, is desperately looking for his black book, a death list of those marked for the guillotine.","6,991",Mark Robson,Kim Hunter
Repeat Performance,"Crime, Drama, Fantasy            ",1947,91 min,6.8,"On New Year's Eve 1946, Sheila Page kills her husband Barney. She wishes that she could relive 1946 and avoid the mistakes that she made throughout the year. Her wish comes true but cheating fate proves more difficult than she anticipated.","66,307",Alfred Hitchcock,Teresa Wright
The Return of the Whistler,"Film-Noir, Mystery            ",1948,60 min,6.3,"On the eve of his marriage, a young man's fiance disappears. He hires a private detective to help him track her down, but soon finds himself entangled in a web of lies, intrigue and murder ...                See full summary »",461,Joseph Pevney,Howard Duff
Ride the Pink Horse,"Drama, Film-Noir, Mystery            ",1947,101 min,7.2,"WW2 veteran Lucky Gagin arrives in a New Mexico border-town intent on revenging against mobster Frank Hugo but FBI agent Bill Retz, who also wants Hugo, tries to keep Gagin out of trouble.","2,796",Josef von Sternberg,Gene Tierney
Riot in Cell Block 11,"Crime, Drama, Film-Noir            ",1954,80 min,7,"Fed up with the inhumane prison living conditions, a general prison riot breaks out, leading to hostage-taking, a stand-off with the guards and eventual negotiations with the prison administration officials.","1,535",Howard W. Koch,|
Roadblock,"Crime, Drama, Film-Noir            ",1951,73 min,6.6,Honest LA insurance detective Joe Peters becomes corrupt after falling in love with sensual gold-digger model Diane.,"2,951",Alfred L. Werker,Vincent Price
Road House,"Action, Drama, Film-Noir            ",1948,95 min,7.2,A night club owner becomes infatuated with a torch singer and frames his best friend/manager for embezzlement when the chanteuse falls in love with him.,"1,774",Douglas Sirk,Cornel Wilde
The Rocking Horse Winner,"Drama, Fantasy            ",1949,91 min,7.3,A young boy receives a rocking horse for Christmas and soon learns that he is able to pick the winning horse at the races.,597,William Berke,Russell Wade
Rogue Cop,"Crime, Drama, Film-Noir            ",1954,92 min,6.6,"After witnessing a murder, honest cop Eddie Kelvaney is silenced by gangster Dan Beaumonte, prompting Eddie's brother, Detective Chris Kelvaney, to search for the killer.","3,101",Anthony Mann,Farley Granger
Scandal Sheet,"Crime, Drama, Film-Noir            ",1952,82 min,7.4,The editor of an exploitation newspaper commits a murder and assigns his protégé to investigate hoping to divert attention away from himself.,652,John Brahm,Fred MacMurray
The Scarf,"Drama, Film-Noir, Thriller            ",1951,93 min,6.7,"A man believed to have murdered a woman, escapes from the insane asylum to find if he was the one who actually killed her using the scarf she was wearing.","1,890",Douglas Sirk,Claudette Colbert
Scarlet Street,"Crime, Drama, Film-Noir            ",1945,102 min,7.8,"A man in mid-life crisis befriends a young woman, though her fiancé persuades her to con him out of the fortune they mistakenly assume he possesses.",648,George Sherman,Richard Conte
Scene of the Crime,"Crime, Drama, Film-Noir            ",1949,94 min,6.6,"While his wife is urging him to quit the force, a Los Angeles homicide detective hunts for the killer responsible for the murder of his ex-partner, who might have been on the take with local bookies.","1,120",Allan Dwan,John Payne
Screaming Mimi,"Drama, Film-Noir, Thriller            ",1958,79 min,5.8,"Exotic dancer Virginia Wilson sees a man get shot moments after he tries to knife her in a shower, so she goes to Dr. Greenwood a psychiatrist for therapy. He falls in love with her and ...                See full summary »","3,447",Edward Dmytryk,Arthur Franz
Second Chance,"Crime, Drama, Film-Noir            ",1953,82 min,5.9,"Mobster Vic Spalato's girlfriend Claire is in hiding in Mexico and she's willing to testify for a US Senate investigation committee, if she can make it back to the US alive.","1,327",Joseph H. Lewis,Steven Geray
The Second Woman,"Drama, Film-Noir, Mystery            ",1950,91 min,6.3,"In flashback from a 'Rebecca'-style beginning: Ellen Foster, visiting her aunt on the California coast, meets neighbor Jeff Cohalan and his ultramodern clifftop house.","3,115",Joseph L. Mankiewicz,John Hodiak
Secret Beyond the Door...,"Drama, Film-Noir, Mystery            ",1947,99 min,6.7,"When a lovely woman and her new husband settle in an ancient mansion on the East coast, she discovers that he may want to kill her.","11,509",Anatole Litvak,Barbara Stanwyck
The Secret Fury,"Crime, Drama, Film-Noir            ",1950,85 min,6.7,A woman preparing to marry her fiance is accused of bigamy by a stranger but she fights back by trying to prove she's the victim of a conspiracy designed to discredit her.,"49,229",Alfred Hitchcock,Ingrid Bergman
The Set-Up,"Crime, Film-Noir, Sport            ",1949,73 min,7.8,"Expecting the usual loss, a boxing manager takes bribes from a betting gangster without telling his fighter.",378,Robert Hamer,Eric Portman
711 Ocean Drive,"Action, Crime, Drama            ",1950,102 min,6.8,"An electronics expert creates a huge bookie broadcast system for his crime boss, and takes over operations when his boss is murdered. His greed leads him on a deadly destructive path.","10,345",Robert Siodmak,Dorothy McGuire
The Seventh Veil,"Drama, Music            ",1945,94 min,6.7,A concert pianist with amnesia fights to regain her memory.,"1,647",Dick Powell,Stephen McNally
The Seventh Victim,"Drama, Horror, Mystery            ",1943,71 min,6.7,A woman in search of her missing sister uncovers a Satanic cult in New York's Greenwich Village and finds that they could have something to do with her sibling's random disappearance.,689,Cornel Wilde,Cornel Wilde
Shadow of a Doubt,"Film-Noir, Thriller            ",1943,108 min,7.8,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.","10,128",Lewis Milestone,Barbara Stanwyck
Shakedown,"Crime, Drama, Film-Noir            ",1950,80 min,7,"Unscrupulous and opportunistic San Francisco news media photographer Jack Early steps on and uses folks to get ahead, but in the end he tangles with the wrong people.","2,169",Edgar G. Ulmer,|
The Shanghai Gesture,"Crime, Drama, Film-Noir            ",1941,95 min,6.6,"In Shanghai, dragon-lady 'Mother' Gin Sling operates a gambling house for wealthy patrons but she clashes with influential land developer Sir Guy Charteris who wants to put her out-of-business.","26,920",Orson Welles,Orson Welles
Shield for Murder,"Crime, Drama, Film-Noir            ",1954,82 min,6.8,"When a brutal police detective Lt. murders a bookmaker's runner for $25,000 in cash, a deaf mute sees him do it and now he finds he must kill again to cover his tracks.","4,268",Boris Ingster,Peter Lorre
Shock,"Film-Noir, Thriller            ",1946,70 min,6.2,A psychologically distraught woman is committed to a private sanitarium by the man she witnessed commit a murder.,"134,794",Alfred Hitchcock,Farley Granger
Shockproof,"Crime, Drama, Film-Noir            ",1949,79 min,6.5,"A Parole Officer falls in-love with his client, a ravishing blonde who served time for murder, and he's determined to help her go straight despite her interfering criminal boyfriend.",545,Jack Hively,Burgess Meredith
Shoot to Kill,"Crime, Drama, Film-Noir            ",1947,64 min,5.5,A woman apparently marries a corrupt deputy D.A. to get evidence that a certain criminal was framed for murder.,"3,091",William Keighley,Mark Stevens
Short Cut to Hell,"Crime, Drama, Film-Noir            ",1957,89 min,5.9,"A professional hitman is hired by a friend to commit two murders. His friend pays him off in what turns out to be stolen money, and the police soon trace the money to him. On the run, he ...                See full summary »",694,László Kardos,Mickey Rooney
Side Street,"Crime, Drama, Film-Noir            ",1950,83 min,7.1,A struggling young father-to-be gives in to temptation and impulsively steals money from the office of a shady lawyer--with catastrophic consequences.,"6,533",David Miller,Joan Crawford
Singapore,"Action, Adventure, Crime            ",1947,79 min,6.4,"After WW2, an American skipper returns to Singapore to retrieve his hidden stash of pearls and finds his lost fiancee who now has amnesia.","6,779",Lewis Allen,Frank Sinatra
"Sleep, My Love","Drama, Film-Noir, Mystery            ",1948,97 min,6.8,Chronic sleepwalker Alison Courtland thinks that a mysterious man wearing horned-rimmed eye glasses is out to kill her but her husband blames her tired imagination.,"222,701",Billy Wilder,William Holden
The Sleeping City,"Crime, Drama, Film-Noir            ",1950,86 min,6.7,"In New York, the murder of a Bellvue Hospital intern prompts the police to send an undercover detective to investigate.","2,461",Robert Siodmak,Charles Laughton
Slightly Scarlet,"Crime, Drama, Film-Noir            ",1956,99 min,6.5,"An urban wheeler-dealer gets involved in organized crime, corrupt city politics and graft while falling in-love with the fiancée of the newly elected mayor.","39,185",Alfred Hitchcock,Cary Grant
The Sniper,"Crime, Drama, Film-Noir            ",1952,88 min,7.1,A sniper kills young brunettes as the police attempt to grapple with the psychology of the unknown assailant.,"32,792",Alexander Mackendrick,Burt Lancaster
So Dark the Night,"Crime, Drama, Film-Noir            ",1946,71 min,6.3,"Paris police detective Cassin has a well needed vacation at a rural inn, where the owners' adult daughter shows interest in him but she has a jealous boyfriend. Will Cassin need his skills?","3,665",Anthony Mann,Dennis O'Keefe
So Evil My Love,"Crime, Drama            ",1948,112 min,6.9,"Olivia Harwood, missionary's widow, meets charming Mark Bellis, artist and rogue, on the ship taking them both back to 1890s London. After Olivia opens a lodging house, Mark becomes her ...                See full summary »",383,Ronald Neame,Hugh Williams
Somewhere in the Night,"Crime, Drama, Film-Noir            ",1946,110 min,7.1,"George Taylor returns from WWII with amnesia. Back home in Los Angeles, while trying to track down his old identity, he stumbles onto a 3-year old murder case and a hunt for a missing $2 million.",714,David Bradley,George Murphy
"Sorry, Wrong Number","Drama, Film-Noir, Mystery            ",1948,89 min,7.3,"While on the telephone, an invalid woman overhears what she thinks is a murder plot and attempts to prevent it.",517,Jack Arnold,Jeff Chandler
Southside 1-1000,"Crime, Drama, Film-Noir            ",1950,73 min,6.4,"The US secret service goes after a counterfeit ring, whose engraver Eugene Deane has covertly constructed his plates while serving a life sentence in San Quentin. In order to infiltrate the...                See full summary »","3,190",John Berry,Richard Basehart
Spellbound,"Film-Noir, Mystery, Romance            ",1945,111 min,7.5,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,289,Montgomery Tully,Dan Duryea
The Spider and the Fly,"Crime, Romance, Thriller            ",1949,92 min,6.7,"A clever and dedicated French police official, a cleverer master-thief whom he secretly admires, the woman loved by the official who is in love with the thief, at the outbreak of World War I.","22,462",Gordon Douglas,James Whitmore
The Spiral Staircase,"Drama, Horror, Mystery            ",1946,83 min,7.3,"In 1916, a shadowy serial killer is targeting women with ""afflictions""; one night during a thunderstorm, the mute Helen feels menaced.","8,536",Nicholas Ray,Cathy O'Donnell
Split Second,"Crime, Drama, Film-Noir            ",1953,85 min,6.8,Two escaped killers take hostages and hide in a Nevada mining ghost town knowing that an atom bomb is scheduled to be tested there the next morning.,"1,708",Alberto Cavalcanti,Sally Gray
Storm Fear,"Crime, Drama, Film-Noir            ",1955,88 min,6.4,"After being wounded by a bullet, bank robber Charlie Blake seeks shelter with his gang at his brother's mountain retreat. There he rekindles his romance with his brother's wife and reconnects with the boy he believes is his son.",309,William C. Thomas,Robert Lowery
The Strange Affair of Uncle Harry,"Drama, Film-Noir            ",1945,80 min,6.7,"Bachelor Harry Quincey, head designer in a small-town cloth factory, lives with his selfish sisters, glamorous hypochondriac Lettie and querulous widow Hester. His developing relationship ...                See full summary »","2,782",Irving Pichel,Robert Young
Strange Fascination,"Drama, Film-Noir, Music            ",1952,80 min,6.1,"Middle-aged European pianist Paul Marvan (Hugo Haas) is brought to America by wealthy widow Diana Fowler (Mona Barrie) and he meets and weds a canary-blonde named Margo (Cleo Moore), who is...                See full summary »","1,124",Russell Rouse,Ray Milland
Strange Illusion,"Crime, Drama, Film-Noir            ",1945,87 min,6.2,"Paul, a young man whose father was once lieutenant Governor of California before his untimely death, has a strange, recurring dream in which his mother falls in love with a dangerous man (...                See full summary »","6,294",Jules Dassin,Richard Conte
Strange Impersonation,"Drama, Film-Noir, Thriller            ",1946,68 min,6.3,"A research scientist conducting experiments on a new anesthetic finds herself being blackmailed by a woman she accidentally knocked down with her car; the woman wasn't hurt, but a scheming ...                See full summary »",498,Otto Preminger,Linda Darnell
The Strange Love of Martha Ivers,"Drama, Film-Noir, Romance            ",1946,116 min,7.4,"A man is reunited with his childhood friend and her husband, who believe he knows the truth about the death of her rich aunt years earlier.","172,556",Carol Reed,Orson Welles
The Strange Woman,"Drama, Romance, Thriller            ",1946,100 min,6.6,In 1820s New England beautiful but poor and manipulative Jenny Hager marries rich old man Isaiah Poster but also seduces his son and his company foreman.,"9,627",Frank Tuttle,Alan Ladd
The Stranger,"Crime, Drama, Film-Noir            ",1946,95 min,7.3,An investigator from the War Crimes Commission travels to Connecticut to find an infamous Nazi.,"1,018",Felix E. Feist,Michael O'Shea
Stranger on the Third Floor,"Crime, Drama, Film-Noir            ",1940,64 min,6.8,An aspiring reporter is the key witness at the murder trial of a young man accused of cutting a café owner's throat and is soon accused of a similar crime himself.,804,Mark Stevens,Mark Stevens
Strangers on a Train,"Crime, Drama, Film-Noir            ",1951,101 min,7.9,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"1,454",Felix E. Feist,Ruth Roman
Street of Chance,"Crime, Drama, Film-Noir            ",1942,74 min,6.3,"After an accident, a New York man with amnesia finds out the ugly truth about his real identity and past by interacting with people who seem to know him well.","4,968",Byron Haskin,Lizabeth Scott
The Street with No Name,"Crime, Drama, Film-Noir            ",1948,91 min,7.1,"A covert FBI agent infiltrates a ruthless gangster mob, but his life is at risk from a mysterious informant who funnels inside information to the hoodlums.","105,322",Orson Welles,Charlton Heston
The Strip,"Crime, Drama, Film-Noir            ",1951,85 min,6.1,"Drummer Stanley Maxton moves to Los Angeles with dreams of opening his own club, but falls in with a gangster and a nightclub dancer and ends up accused of murder.","1,434",Richard Fleischer,Lloyd Bridges
Sudden Fear,"Film-Noir, Thriller            ",1952,110 min,7.5,"After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.","1,714",Cy Endfield,Frank Lovejoy
Suddenly,"Crime, Drama, Film-Noir            ",1954,77 min,6.8,"In the city of Suddenly, three gangsters trap the Benson family in their own house, on the top of a hill nearby the railroad station, with the intention of killing the president of the USA.","1,508",William Dieterle,William Holden
Sunset Blvd.,"Drama, Film-Noir            ",1950,110 min,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"4,367",Peter Godfrey,Humphrey Bogart
The Suspect,"Drama, Film-Noir, Thriller            ",1944,85 min,7.4,"An unhappily married man begins a flirtation with a younger woman. When his wife threatens to ruin her, he decides to take action.","1,027",Anthony Mann,Tom Conway
Suspense,"Drama, Film-Noir, Romance            ",1946,101 min,6.4,"The proprietor of an ice-skating revue promotes a peanut-vendor at the show to a management position based on suggestions he made to improve the act of the show's star, who also happens to ...                See full summary »",166,Ted Tetzlaff,Richard Conte
Suspicion,"Film-Noir, Mystery, Thriller            ",1941,99 min,7.3,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.","1,225",Joseph H. Lewis,Glenn Ford
Sweet Smell of Success,"Drama, Film-Noir            ",1957,96 min,8,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,"3,112",Vincente Minnelli,Katharine Hepburn
T-Men,"Crime, Film-Noir, Thriller            ",1947,92 min,6.9,Two US Treasury agents hunt a successful counterfeiting ring.,695,William Castle,Scott Brady
Take My Life,"Crime, Drama, Film-Noir            ",1947,79 min,6.9,"Philippa Shelley races against time to clear her husband Nicholas Talbot of a murder he did not commit. While she works on getting proof, the prosecution is doing all it can to force a conviction.","1,227",Cy Endfield,Dan Duryea
Talk About a Stranger,"Drama, Film-Noir, Mystery            ",1952,65 min,6.2,"In an idyllic setting, a likable but dangerously volatile twelve-year-old boy tries to settle a score with his disagreeable, mysterious neighbor.","3,545",Samuel Fuller,Cliff Robertson
The Tattered Dress,"Crime, Drama, Film-Noir            ",1957,93 min,6.6,"When top lawyer James Blane gets an acquittal for a man who killed another man for sexually roughing up his trophy wife, the murderous town sheriff frames him for bribing a juror in the case.","1,426",Vincent Sherman,Ann Sheridan
Tension,"Crime, Drama, Film-Noir            ",1949,95 min,7.3,A meek pharmacist creates an alternate identity under which he plans to murder the bullying liquor salesman who has become his wife's lover.,"2,550",Rudolph Maté,William Holden
36 Hours,"Crime, Drama, Film-Noir            ",1953,80 min,5.9,An American pilot AWOL from the states is framed for his wife's murder and has just 36 hours to prove his innocence.,432,Richard Thorpe,Walter Pidgeon
Them!,"Horror, Sci-Fi            ",1954,94 min,7.2,The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization.,"3,367",Michael Curtiz,Claude Rains
They Live by Night,"Crime, Film-Noir, Romance            ",1948,95 min,7.4,"An escaped convict injured during a robbery falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.","2,358",Don Siegel,Sydney Greenstreet
They Made Me a Fugitive,"Crime, Drama, Film-Noir            ",1947,101 min,7.2,"After WW2, former RAF airman Clem Morgan joins a gang of black-market smugglers-thieves but when a robbery goes wrong, Clem is caught , framed for a policeman's murder, and is sent to prison where he plots his escape and revenge.","403,079",Alfred Hitchcock,James Stewart
They Made Me a Killer,"Crime, Drama, Film-Noir            ",1946,64 min,5.9,A young girl tries to prove a man innocent of robbery and murder charges.,"1,098",Harry Horner,Jeanne Crain
They Won't Believe Me,"Drama, Film-Noir, Romance            ",1947,95 min,7.2,"On trial for murdering his girlfriend, philandering stockbroker Larry Ballentine takes the stand to claim his innocence and describe the actual, but improbable-sounding, sequence of events that led to her death.","6,324",Basil Dearden,Dirk Bogarde
The Thief,"Crime, Drama, Film-Noir            ",1952,86 min,6.7,"A chance accident causes a nuclear physicist, who's selling top secret material to the Russians, to fall under FBI scrutiny and go on the run.",252,Arthur Ripley,Francis Lederer
Thieves' Highway,"Drama, Film-Noir, Thriller            ",1949,94 min,7.5,A war veteran turned truck driver attempts to avenge the crippling and robbing of his father at the hands of an amoral produce scofflaw.,"1,098",Robert Stevenson,Joseph Cotten
The 13th Letter,"Film-Noir, Mystery            ",1951,85 min,6.3,Respectable citizens receive anonymous letters revealing their adulterous relationships.,"1,104",William Castle,Robert Mitchum
The Third Man,"Film-Noir, Mystery, Thriller            ",1949,104 min,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","3,003",John Farrow,Robert Mitchum
This Gun for Hire,"Crime, Drama, Film-Noir            ",1942,81 min,7.4,"When assassin Philip Raven shoots a blackmailer and his beautiful female companion dead, he is paid off in marked bills by his treasonous employer who is working with foreign spies.","9,277",Otto Preminger,Dana Andrews
This Side of the Law,"Drama, Film-Noir, Mystery            ",1950,74 min,6.4,"David Cummings, a vagrant, is bailed out of jail by Philip Cagle, an attorney, who hires him to impersonate a missing millionaire, whose presence is necessary in order to distribute a ...                See full summary »","6,529",Fritz Lang,Dana Andrews
The Threat,"Crime, Drama, Film-Noir            ",1949,66 min,6.7,Vicious hood 'Red' Kluger escapes from Folsom State Prison and follows through on his threats to the detective who arrested him and the D.A. who convicted him.,"4,379",Otto Preminger,Gene Tierney
Time Table,"Crime, Drama, Film-Noir            ",1956,80 min,6.6,"In Arizona, a train's baggage car is robbed of a large payroll, prompting an investigation led by a railroad official-insurance investigator team.",366,Fyodor Otsep,Helmut Dantine
Tomorrow Is Another Day,"Crime, Drama, Film-Noir            ",1951,90 min,7,"An ex-convict and a woman fall in love, after she shoots her police Lt. boyfriend dead in self defense, and falsely leads him to believe that he did the shooting.","1,193",Léonide Moguy,George Raft
Too Late for Tears,"Crime, Drama, Film-Noir            ",1949,99 min,7.3,"Through a fluke circumstance, a ruthless woman stumbles across a suitcase filled with $60,000, and is determined to hold onto it even if it means murder.","33,422",Raoul Walsh,James Cagney
Touch of Evil,"Crime, Drama, Film-Noir            ",1958,95 min,8,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",903,Russell Rouse,Beverly Michaels
Trapped,"Crime, Drama, Film-Noir            ",1949,78 min,6.4,"Secret Service agents make a deal with a counterfeiting inmate to be released on early parole if he will help them recover some bogus moneymaking plates, but he plans to double cross them.","4,304",Ted Tetzlaff,Bobby Driscoll
The Sound of Fury,"Crime, Drama, Film-Noir            ",1950,91 min,7.2,A man who is down on his luck falls in with a criminal.,520,Arnold Laven,Adam Williams
The Turning Point,"Crime, Drama, Film-Noir            ",1952,85 min,6.9,"Jerry McKibbon is a tough, no nonsense reporter, mentoring special prosecutor John Conroy in routing out corrupt officials in the city, which may even include Conroy's own police detective father as a suspect.","3,181",Roy Rowland,Barbara Stanwyck
The Two Mrs. Carrolls,"Crime, Drama, Film-Noir            ",1947,99 min,6.8,"An artist forms an attachment with a woman on holiday in the country. As the relationship develops, his behavior and information about his past cause her increasing concern.",981,Michael Gordon,Ida Lupino
Two O'Clock Courage,"Crime, Drama, Film-Noir            ",1945,68 min,6.4,"A confused man with a gash on his head stumbles into the taxi cab of Patty Mitchell. He says that he can't recall his own name, any facts about his life or even what he was doing before he got in the cab.","16,402",Fritz Lang,Edward G. Robinson
Under the Gun,"Crime, Drama, Film-Noir            ",1951,83 min,6.6,"After a cunning, unscrupulous mobster is sentenced to a Florida prison farm, he launches a deadly escape plan.","1,166",Robert Stevenson,Robert Ryan
The Undercover Man,"Crime, Drama, Film-Noir            ",1949,85 min,6.6,Treasury Department agent Frank Warren takes on the case of a mob leader who has evaded paying taxes on his ill-gotten gains.,"2,278",Jean Renoir,Joan Bennett
Undercurrent,"Drama, Film-Noir, Thriller            ",1946,116 min,6.5,Middle-aged bride Ann Hamilton soon begins to suspect that her charming husband is really a psychotic who plans to murder her.,"4,150",Norman Foster,Ann Sheridan
Undertow,"Crime, Drama, Film-Noir            ",1949,71 min,6.6,A paroled convict is framed for murder and must clear himself before the police catches him.,543,Robert Aldrich,Dan Duryea
The Underworld Story,"Crime, Drama, Film-Noir            ",1950,91 min,7,"The story of the fight of a small-town newspaper to free an innocent girl of a murder charge, with the publisher of a metropolitan city newspaper heading, by forced circumstances, the opposing forces.","29,032",Alfred Hitchcock,Henry Fonda
Underworld U.S.A.,"Crime, Drama, Thriller            ",1961,99 min,7.3,A teenager who witnesses the murder of his father vows to exact revenge on the four mobsters involved in the killing.,"12,621",Taylor Hackford,Rachel Ward
The Unfaithful,"Crime, Drama, Film-Noir            ",1947,109 min,6.8,A Los Angeles socialite kills a man while home alone one night and claims he was an intruder she did not know. It seems like a clear case of self defense until the story hits the papers and people connected to the dead man come forward.,"16,316",James Foley,Sean Penn
Union Station,"Crime, Drama, Film-Noir            ",1950,81 min,6.8,A sharp-eyed woman spots a man with a gun on a train and her alert to the railroad police helps them in their search for a ruthless gang who have kidnapped a blind heiress.,"9,980",Curtis Hanson,Rob Lowe
The Unknown Man,"Crime, Drama, Film-Noir            ",1951,86 min,6.5,An attorney successfully defends a young hoodlum charged with murder but later has doubts about his client's innocence and starts investigating his background and associations.,"43,975",Abel Ferrara,Harvey Keitel
The Unsuspected,"Drama, Film-Noir, Mystery            ",1947,103 min,7.2,The secretary of an affably suave radio mystery host mysteriously commits suicide after his wealthy young niece disappears.,"73,764",Terrence Malick,Martin Sheen
The Verdict,"Crime, Drama, Film-Noir            ",1946,86 min,7.2,"After an innocent man is executed in a case for which he was responsible, a Scotland Yard superintendent finds himself investigating the murder of his key witness.","202,072",Paul Verhoeven,Michael Douglas
Vertigo,"Mystery, Romance, Thriller            ",1958,128 min,8.3,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.","5,916",Curtis Hanson,Steve Guttenberg
Vicki,"Crime, Drama, Film-Noir            ",1953,85 min,6.5,The untimely murder of a New York glamor-girl sparks an investigation with an emotionally driven detective at the helm.,"5,738",John Flynn,James Woods
Victim,"Crime, Drama, Thriller            ",1961,100 min,7.7,A closeted lawyer risks his career to bring a blackmailer to justice.,"13,112",Peter Hyams,Jesse Metcalfe
Voice in the Wind,"Crime, Drama, Film-Noir            ",1944,85 min,5.4,"A concert pianist has lost his memory, the result of his being arrested and tortured by the Nazis during the war for playing a banned song. He journeys to the island of Guadelupe to try to regain his memory and his health.","55,771",Ridley Scott,Michael Douglas
