Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Spellbound,"Film-Noir, Mystery, Romance            ",1945,111 min,7.5,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,"2,166",Arthur Ripley,Robert Cummings
The Spider,"Crime, Film-Noir, Mystery            ",1945,63 min,6,"A private detective, his devoted servant, and his female associate are caught in a web of crimes after discovering the fatal fate of a mind-reader's assistant billed as 'The Spider Woman'.","3,106",Fritz Lang,Gary Cooper
The Strange Affair of Uncle Harry,"Drama, Film-Noir            ",1945,80 min,6.7,"Bachelor Harry Quincey, head designer in a small-town cloth factory, lives with his selfish sisters, glamorous hypochondriac Lettie and querulous widow Hester. His developing relationship ...                See full summary »","1,464",Irving Reis,Pat O'Brien
Strange Illusion,"Crime, Drama, Film-Noir            ",1945,87 min,6.2,"Paul, a young man whose father was once lieutenant Governor of California before his untimely death, has a strange, recurring dream in which his mother falls in love with a dangerous man (...                See full summary »",497,Robert Wise,Tom Conway
The Strange Mr. Gregory,"Drama, Mystery, Thriller            ",1945,63 min,5.6,"Famed magician Mr. Gregory is visited back stage one night by an amateur magician and his wife. Immediately smitten with Ellen Randall, Gregory plots to win her over.","4,657",Henry Hathaway,Lucille Ball
Two O'Clock Courage,"Crime, Drama, Film-Noir            ",1945,68 min,6.4,"A confused man with a gash on his head stumbles into the taxi cab of Patty Mitchell. He says that he can't recall his own name, any facts about his life or even what he was doing before he got in the cab.","5,169",Robert Siodmak,Olivia de Havilland
The Unseen,"Drama, Film-Noir, Mystery            ",1945,80 min,5.9,"A secretive widower hires a governess for his children, a willful boy and impressionable girl. Strange occurrences and the governess's curiosity lead her to unlock the secrets of the mysterious and uninhabited brownstone next door.","1,951",Harold Clurman,|
Voice of the Whistler,"Drama, Film-Noir            ",1945,60 min,6.3,"The 4th film of the Columbia series based on the CBS radio program, ""The Whistler"", finds wealthy John Sinclair, with no health or friends, being advised by his doctor to take a long ...                See full summary »","3,650",Irving Rapper,Bette Davis
Accomplice,"Film-Noir, Mystery, Thriller            ",1946,68 min,5.2,Private Eye Simon Lash is hired by an old flame to find her missing husband.,627,Alfred Zeisler,Peter Cookson
The Beast with Five Fingers,"Horror, Mystery            ",1946,88 min,6.5,"In a turn-of-the-century Renaissance Italian mansion, its tyrannical owner, a one-handed, wheelchair-bound pianist, with a strong belief in the occult, is murdered.","32,771",Charles Vidor,Rita Hayworth
Bedlam,"Drama, Horror, Thriller            ",1946,79 min,6.8,"Nell Bowen, the protégé of Lord Mortimer, wants to help change the conditions of notorious St. Mary's of Bethlehem Asylum (Bedlam). Though she tries to reform Bedlam, but the cruel Master ...                See full summary »",210,Frederick De Cordova,Dane Clark
The Big Sleep,"Crime, Film-Noir, Mystery            ",1946,114 min,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.","1,089",Jean Yarbrough,Robert Lowery
Black Angel,"Adventure, Crime, Film-Noir            ",1946,81 min,6.9,"When Kirk Bennett is convicted of a singer's murder, his wife tries to prove him innocent...aided by the victim's ex-husband.","4,523",Jean Negulesco,Joan Crawford
Blonde Alibi,"Action, Comedy, Crime            ",1946,62 min,6.3,"Soon after a young woman breaks off her engagement to a doctor, the doctor is found murdered. Suspicion falls on his ex-fiancé and a pilot with a checkered past.",199,Jean Yarbrough,Preston Foster
The Blue Dahlia,"Crime, Film-Noir, Mystery            ",1946,96 min,7.1,An ex-bomber pilot is suspected of murdering his unfaithful wife.,"21,773",Robert Siodmak,Burt Lancaster
The Chase,"Crime, Film-Noir, Romance            ",1946,86 min,6.5,Chuck Scott gets a job as chauffeur to tough guy Eddie Roman; but Chuck's involvement with Eddie's fearful wife becomes a nightmare.,"1,122",Raoul Walsh,Ida Lupino
Cloak and Dagger,"Adventure, Film-Noir, Romance            ",1946,106 min,6.6,"In WW2, the Allies race against time to persuade two nuclear scientists working for the Germans to switch sides.",240,Lew Landers,Erich von Stroheim
Crack-Up,"Crime, Drama, Film-Noir            ",1946,93 min,6.5,"Art curator George Steele experiences a train wreck...which never happened. Is he cracking up, or the victim of a plot?",576,William Castle,Richard Dix
Criminal Court,"Crime, Drama            ",1946,60 min,5.9,"Steve and his girlfriend are implicated in a murder, but they are innocent! Can they convince the authorities of it in time? Tom Conway and Martha O'Driscoll. He's running for public office. ..what they all must do to get out of it.",991,Henry Levin,William Gargan
The Dark Corner,"Crime, Drama, Film-Noir            ",1946,99 min,7.1,A secretary tries to help her boss who's been framed for murder.,"1,682",Jean Negulesco,John Garfield
The Dark Mirror,"Crime, Drama, Film-Noir            ",1946,85 min,7.1,"A man is found murdered, and witnesses are sure about the woman they saw leaving his apartment. However, it becomes apparent that the woman has a twin, and finding out which one is the killer seems impossible.","1,601",Edwin L. Marin,George Raft
Deadline at Dawn,"Crime, Film-Noir, Mystery            ",1946,83 min,6.8,"When a woman he meets is murdered, a soon-to-ship-out sailor has until dawn to find the killer, aided by a weary dance hall girl.","101,948",Alfred Hitchcock,Cary Grant
Deception,"Crime, Drama, Film-Noir            ",1946,115 min,7,"After marrying her long-lost love, a musician finds the relationship threatened by a wealthy composer who is besotted with her.","21,340",Tay Garnett,Lana Turner
Fear,"Drama, Film-Noir, Mystery            ",1946,68 min,5.7,"In this Americanized retelling of Dostoevsky's Crime and Punishment, a medical student--broke, hungry and desperate for money--murders a loan shark to whom he owes money.",385,Joseph Santley,Helmut Dantine
Gilda,"Drama, Film-Noir, Romance            ",1946,110 min,7.6,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,"2,951",Alfred L. Werker,Vincent Price
